Major,Major Cluster,Major Subcluster,Academic Division,Degree Level,Graduation Year,Job Title,Job Function,Company,Industry Group,State
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's degree,2024,Owner Connection Representative,Operations & Supply Chain,Polaris,Manufacturing & Industrial,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Powertrain Engineer,Engineering,Polaris,Manufacturing & Industrial,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,Sales DP,Sales & Business Development,Polaris,Manufacturing & Industrial,Wisconsin
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Associate business controls consultant ,Consulting & Advisory,PwC,Professional Services & Consulting,Minnesota
Health Care MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Manager,Management & Leadership,Prince of Peace Lutheran Church,Government & Public Service,Minnesota
Psychology,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's degree,2024,au' pair,Other,,Other,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Plant Process Engineer ,Engineering,Proctor & Gamble,Manufacturing & Industrial,Iowa
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Production Manager,Operations & Supply Chain,Promet Optics,Manufacturing & Industrial,Minnesota
Software Engineering,ENGINEERING & TECHNOLOGY,Computer Science & IT,School of Engineering,Graduate level degree,2024,Principal Product Manager,Management & Leadership,Provenance Healthcare Staffing,Healthcare & Medical,Minnesota
Accounting,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Audit Associate,Finance & Accounting,PwC,Professional Services & Consulting,Minnesota
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,Special Education,School of Education,Graduate level degree,2024,Special Education Teacher,Education & Teaching,Quantum STEAM Academy Public Charter School,Education & Academia,Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's degree,2024,Employee benefits advisor ,Consulting & Advisory,RAM benefits ,Other,Minnesota
Social Work,EDUCATION & SOCIAL SERVICES,Social Work,College of Health,Bachelor's degree,2024,Environmental Health Outreach and Coordinator Intership,Government & Public Service,Ramsey County,Government & Public Service,Minnesota
Human Resources Management,BUSINESS & MANAGEMENT,Specialized Business,Opus College of Business,Bachelor's degree,2024,Shipping and receiving manager,Operations & Supply Chain,Revolution Screen Works ,Other,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,Account Manager,Sales & Business Development,Reyes Coca Cola,Manufacturing & Industrial,Minnesota
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,Clinical assistant ,Healthcare & Clinical,River Valley Health Services ,Other,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Financial Analysis,Finance & Accounting,Roers Companies,"Construction, Engineering & Real Estate",Minnesota
Real Estate Studies,BUSINESS & MANAGEMENT,Specialized Business,Opus College of Business,Bachelor's degree,2024,Development Associate,Engineering,Ron Clark Construction,"Construction, Engineering & Real Estate",Minnesota
Economics - Business,BUSINESS & MANAGEMENT,Economics,College of Arts & Sciences,Bachelor's degree,2024,Data & Digital Services Associate,Finance & Accounting,RSM US LLP,Financial Services & Insurance,Florida
Social Work,EDUCATION & SOCIAL SERVICES,Social Work,College of Health,Graduate level degree,2024,MSW Assistant Professor ,Education & Teaching,Saint Mary's College,Education & Academia,Indiana
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,Special Education,School of Education,Graduate level degree,2024,"Special Education, Federal Setting III Emotional Behavioural Disorder",Education & Teaching,Saint Paul Public Schools,Education & Academia,Minnesota
Health Care MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Field Reimbursement Manager,Management & Leadership,Sanofi,Healthcare & Medical,Minnesota
Elementary Education (K-6),EDUCATION & SOCIAL SERVICES,Teacher Education,,Bachelor's Degree,2024,,Other,,Other,North Carolina
Executive MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,"VP, Mission Advancement",Management & Leadership,Science Museum of Minnesota,Government & Public Service,Minnesota
Philosophy,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,College of Arts & Sciences,Bachelor's degree,2024,Educational Support in a publich charter school,Education & Teaching,Seton Education Partners,Education & Academia,
Philosophy,SOCIAL SCIENCES & HUMANITIES,Humanities & Liberal Arts,College of Arts & Sciences,Bachelor's degree,2024,Seton Teaching Fellow,Education & Teaching,Seton Teaching Foundation ,Other,Wisconsin
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's degree,2024,Actuarial Analyst,Finance & Accounting,Seurian Financial,Financial Services & Insurance,Wisconsin
Early Childhood Special Educ,EDUCATION & SOCIAL SERVICES,Special Education,School of Education,Graduate level degree,2024,Early Childhood Special Education,Education & Teaching,South Washinton County Schools,Education & Academia,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,Associate Community Account Executive,Sales & Business Development,SPS Commerce,Technology & Software,Minnesota
Statistics,NATURAL & HEALTH SCIENCES,Mathematics & Statistics,College of Arts & Sciences,Bachelor's degree,2024,Associate customer support analyst,Sales & Business Development,SPS Commerce,Technology & Software,Minnesota
Leadership & Management,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Bachelor's degree,2024,Associate Consultant,Consulting & Advisory,SPS Commerce,Technology & Software,Minnesota
Civil Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Design Engineer I,Engineering,SRF Consulting,"Construction, Engineering & Real Estate",Minnesota
Civil Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Civil Engineer,Engineering,SRF Consulting,"Construction, Engineering & Real Estate",Minnesota
Social Work,EDUCATION & SOCIAL SERVICES,Social Work,College of Health,Graduate level degree,2024,Mental Health Practioner,Healthcare & Clinical,St. David's Center ,Other,Minnesota
Entrepreneurship,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's degree,2024,Account Manager,Sales & Business Development,State Farm,Financial Services & Insurance,Florida
Information Technology,ENGINEERING & TECHNOLOGY,Computer Science & IT,School of Engineering,Graduate level degree,2024,Information Technology Specialist,Software & IT,State of Minnesota,Government & Public Service,Minnesota
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Senior Manager Global Business Integration,Management & Leadership,Target,Retail & Consumer Products,Minnesota
Psychology,SOCIAL SCIENCES & HUMANITIES,Social Sciences,College of Arts & Sciences,Bachelor's degree,2024,Substitute teacher,Education & Teaching,Teachers on Call,Education & Academia,South Dakota
Environmental Sci (Biology),NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,Environmental Scientist,Research & Science,Tetra Tech,"Construction, Engineering & Real Estate",Minnesota
Environmental Studies,NATURAL & HEALTH SCIENCES,Environmental Sciences,College of Arts & Sciences,Bachelor's degree,2024,Environmental Scientist,Research & Science,Tetra Tech,"Construction, Engineering & Real Estate",Minnesota
Real Estate Studies,BUSINESS & MANAGEMENT,Specialized Business,Opus College of Business,Bachelor's degree,2024,Associate Developer,Software & IT,"The Beard Group, Inc",Manufacturing & Industrial,Minnesota
Elementary Education (K-6),EDUCATION & SOCIAL SERVICES,Teacher Education,School of Education,Bachelor's degree,2024,Behavior Therapist,Healthcare & Clinical,The Bridge Autism Clinic,Healthcare & Medical,
MS Operations & Supply Chain Mgmt,BUSINESS & MANAGEMENT,Operations & Analytics,Opus College of Business,Bachelor's degree,2024,Operations Buyer,Operations & Supply Chain,The Toro Company,Manufacturing & Industrial,Minnesota
Public Health,NATURAL & HEALTH SCIENCES,Health & Wellness,College of Health,Bachelor's degree,2024,,Other,The Walt Disney Company,Retail & Consumer Products,Minnesota
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's degree,2024,Actuarial Analyst,Finance & Accounting,Thrivent,Financial Services & Insurance,Minnesota
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,Special Education,School of Education,Graduate level degree,2024,Special Education Teacher ,Education & Teaching,Totino-Grace High School ,Other,Minnesota
Entrepreneurship,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's degree,2024,Private Equity Fellow,Finance & Accounting,Traction Capital,Financial Services & Insurance,Minnesota
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Building Controls Engineering Manager,Engineering,Trane Technologies,Manufacturing & Industrial,Minnesota
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's degree,2024,Actuarial Consultant,Finance & Accounting,Travelers,Financial Services & Insurance,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,Executive Search Analyst,Consulting & Advisory,True Search,Professional Services & Consulting,Minnesota
Exercise Science,NATURAL & HEALTH SCIENCES,Health & Wellness,College of Health,Bachelor's degree,2024,Physical Therapy Technician,Healthcare & Clinical,Twin Cities Orthopedics,Healthcare & Medical,
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Design Engineer,Engineering,Twin City Fans,Manufacturing & Industrial,Minnesota
Data Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,School of Engineering,Graduate level degree,2024,Data Scientist,Research & Science,U.S. Bank,Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Project manager ,Management & Leadership,U.S. Bank,Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Fund Accountant,Finance & Accounting,Ultimus LeverPoint ,Other,Minnesota
Entrepreneurship,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's degree,2024,Owner,Sales & Business Development,Unbakeable,Retail & Consumer Products,Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's degree,2024,Sales Rotational Agent,Sales & Business Development,United Health Group,Healthcare & Medical,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,Sales Agent,Sales & Business Development,United Health Group,Healthcare & Medical,Wisconsin
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Business Analyst,Healthcare & Clinical,United Health Group,Healthcare & Medical,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Analyst Rotational Program,Healthcare & Clinical,United Health Group,Healthcare & Medical,Minnesota
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's degree,2024,Actuarial Analyst,Finance & Accounting,United Health Group,Healthcare & Medical,Minnesota
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,ULE Associate Director,Management & Leadership,United Health Group,Healthcare & Medical,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Financial Analysts ,Finance & Accounting,United Health Group,Healthcare & Medical,Minnesota
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,"Director, Operations",Operations & Supply Chain,United Health Group,Healthcare & Medical,Minnesota
Educ Leadership & Learning,EDUCATION & SOCIAL SERVICES,Education,School of Education,Graduate level degree,2024,Clinical Professor,Education & Teaching,University of St. Thomas,Education & Academia,Minnesota
Pastoral Leadership,"ARTS, LANGUAGES & THEOLOGY",Theology,School of Divinity,Graduate level degree,2024,Executive Assistant to the Rector and Vice President,Management & Leadership,University of St. Thomas,Education & Academia,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,"Assistant Director of Development, Opus College of Business",Management & Leadership,University of St. Thomas,Education & Academia,Minnesota
Creative Writing & Publishing,SOCIAL SCIENCES & HUMANITIES,English & Writing,College of Arts & Sciences,Graduate level degree,2024,Graduate Recruiter,Human Resources,University of St. Thomas,Education & Academia,Minnesota
Elementary Education (K-6),EDUCATION & SOCIAL SERVICES,Teacher Education,School of Education,Bachelor's degree,2024,teacher,Education & Teaching,,Other,Minnesota
Real Estate Studies,BUSINESS & MANAGEMENT,Specialized Business,Opus College of Business,Bachelor's degree,2024,Brokerage Analyst,Engineering,Upland Real Estate Group,"Construction, Engineering & Real Estate",Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,Learning and development specialist,Human Resources,Uponor,Manufacturing & Industrial,Minnesota
Economics,BUSINESS & MANAGEMENT,Economics,College of Arts & Sciences,Bachelor's degree,2024,Financial analyst ,Finance & Accounting,U.S. Bank,Financial Services & Insurance,Minnesota
Human Resources Management,BUSINESS & MANAGEMENT,Specialized Business,Opus College of Business,Bachelor's degree,2024,Employee benefits account representative,Finance & Accounting,USI,Financial Services & Insurance,Minnesota
Computer Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Computer Engineer,Engineering,VOCxI,Technology & Software,Minnesota
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,Fisheries & Aquatic Ecology Field Fellow,Government & Public Service,Voyageurs Conservancy,Government & Public Service,Minnesota
Actuarial Science,BUSINESS & MANAGEMENT,Finance & Accounting,College of Arts & Sciences,Bachelor's degree,2024,Actuarial Analyst,Finance & Accounting,Wakely,Financial Services & Insurance,Minnesota
Social Work Advanced Standing,EDUCATION & SOCIAL SERVICES,Social Work,College of Health,Graduate level degree,2024,Intensive In Home Therapist,Healthcare & Clinical,Washburn,Government & Public Service,Minnesota
Acad Behavioral Strategist,EDUCATION & SOCIAL SERVICES,Special Education,School of Education,Graduate level degree,2024,Special Education Teacher,Education & Teaching,WBLSD,Education & Academia,Minnesota
Economics - Business,BUSINESS & MANAGEMENT,Economics,College of Arts & Sciences,Bachelor's degree,2024,Business Development Analyst ,Sales & Business Development,Wealth Enhancement Group,Financial Services & Insurance,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,Account Manager ,Sales & Business Development,Wei Labs ,Other,
Data Analytics,BUSINESS & MANAGEMENT,Operations & Analytics,College of Arts & Sciences,Bachelor's degree,2024,Data Engineer,Data & Analytics,Wells Fargo,Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Commercial Banking Analyst,Finance & Accounting,Wells Fargo,Financial Services & Insurance,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Financial Analyst,Finance & Accounting,Wells Fargo ,Other,Nebraska
Nursing,NATURAL & HEALTH SCIENCES,Health & Wellness,College of Health,Graduate level degree,2024,Nurse,Healthcare & Clinical,Western Wisconsin Health,Healthcare & Medical,Wisconsin
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Mechanical Engineer ,Engineering,Westinghouse Electric Company ,Other,Minnesota
Civil Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Staff Engineer,Engineering,Westwood Professional Services,"Construction, Engineering & Real Estate",Minnesota
Environmental Science,NATURAL & HEALTH SCIENCES,Environmental Sciences,College of Arts & Sciences,Bachelor's degree,2024,Construction Stormwater Specialist,Construction & Trades,Westwood Professional Services,"Construction, Engineering & Real Estate",Minnesota
MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Senior Operations Manager,Operations & Supply Chain,Winmark the Resale Company ,Other,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Analyst in Risk and Financial Advisory,Finance & Accounting,Deloitte,Professional Services & Consulting,North Carolina
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,Solutions Consultant,Consulting & Advisory,Workday,Technology & Software,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,Office Assistant ,Administrative & Support,Wundercover Group of Lumeway,Retail & Consumer Products,Minnesota
Executive MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Senior DER Integration Engineer,Engineering,Xcel Energy,Energy & Utilities,Minnesota
Marketing Management,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,Project Coordinator/Distribution Designer,Operations & Supply Chain,Xcel Energy,Energy & Utilities,Minnesota
Gen Business Mgmt,BUSINESS & MANAGEMENT,General Business,Opus College of Business,Bachelor's degree,2024,General Manager,Management & Leadership,Yum! Kitchen and Bakery,Retail & Consumer Products,Minnesota
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,Product Engineer,Engineering,Zopec Medical,Healthcare & Medical,Minnesota
Health Care MBA,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Graduate level degree,2024,Director,Management & Leadership,Optum,Technology & Software,North Carolina
Leadership & Management,BUSINESS & MANAGEMENT,General Management,Opus College of Business,Bachelor's degree,2024,,Other,,Other,
Counseling Psychology,EDUCATION & SOCIAL SERVICES,Social Work,School of Prof Psychology,Graduate level degree,2024,Marriage and Family Therapist,Healthcare & Clinical,Aspire Counseling & Wellness,Healthcare & Medical,North Carolina
English - Creative Writing,COMMUNICATION & MEDIA,Creative Writing,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,
Digital Media Arts,COMMUNICATION & MEDIA,Journalism & Media,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Computer Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,,Other,,Other,Wisconsin
Human Resources Management,BUSINESS & MANAGEMENT,Specialized Business,Opus College of Business,Bachelor's degree,2024,Marketing Specialist,Marketing & Communications,Trane Technologies,Manufacturing & Industrial,North Carolina
Law & Compliance,BUSINESS & MANAGEMENT,Specialized Business,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Minnesota
Law & Compliance,BUSINESS & MANAGEMENT,Specialized Business,Opus College of Business,Bachelor's degree,2024,,Other,,Other,
Catholic Studies,"ARTS, LANGUAGES & THEOLOGY",Arts & Theology,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Wisconsin
Mechanical Engineering,ENGINEERING & TECHNOLOGY,Engineering Disciplines,School of Engineering,Bachelor's degree,2024,,Other,,Other,Minnesota
Exercise Science,NATURAL & HEALTH SCIENCES,Health & Wellness,College of Health,Bachelor's degree,2024,,Other,,Other,Wisconsin
Bus Admin - Communication,BUSINESS & MANAGEMENT,Marketing & Communication,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Minnesota
Biology,NATURAL & HEALTH SCIENCES,Biological Sciences,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Computer Science,ENGINEERING & TECHNOLOGY,Computer Science & IT,College of Arts & Sciences,Bachelor's degree,2024,,Other,,Other,Minnesota
Financial Management,BUSINESS & MANAGEMENT,Finance & Accounting,Opus College of Business,Bachelor's degree,2024,,Other,,Other,Minnesota
